TW_ID,TW_DETAIL,TW_HASHTAG,USR_ID
21867,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,810224647199490000
21868,RT @HBOINDIA: #ContestAlert\u200b\n\nHint: You might know him as Superman. #TheHuntIsOnHBO #MissionImpossibleFallout #MI6 https://t.co/WZZXVLYrXU,#MissionImpossibleFallout,2472522037
21869,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,767783292
21870,RT @RicoJrCrea: Quick tribute poster I created today for #MissionImpossibleFallout with @TomCruise &amp; #HenryCavill. Have fun! @MissionFilm #…,#MissionImpossibleFallout,116166169
21871,Wow amazing opportunity! RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission… https://t.co/pqvoRx3d9d,#MissionImpossibleFallout,19290230
21872,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,19267296
21873,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,2159836623
21874,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,296950899
21875,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,25855145
21876,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,416536319
21877,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,152714268
21878,Let me watch #MissionImpossibleFallOut??????,#MissionImpossibleFallout,199216733
21879,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,222611753
21880,RT @TomCruise: Dropping in. Summer ’18. #MissionImpossibleFallout https://t.co/QV0ruZyVbi,#MissionImpossibleFallout,1108377813323860000
21881,"RT @TomCruise: Thank you to the amazing cast, crew and people of Abu Dhabi. That’s a wrap. #MissionImpossibleFallout https://t.co/yKhcO9Cy61",#MissionImpossibleFallout,1108377813323860000
21882,RT @MandaAiley: My #Top10\n4. #MissionImpossibleFallout\nOne of the best action movies ever made. Im no fan of #TomCruise but what he &amp; #Chr…,#MissionImpossibleFallout,751235743096397000
21883,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,2243367863
21884,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,69730756
21885,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,85818367
21886,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,2231267989
21887,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,529850415
21888,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,2563460949
21889,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,136992850
21890,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,302702394
21891,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,704724513045487000
21892,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,270819857
21893,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,36309760
21894,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,23618134
21895,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,194572083
21896,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,2443006233
21897,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,1108140293046570000
21898,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,634833505
21899,"Mission: Impossible - Fallout (2018) - Read 1,349 Movie Reviews \nLink: https://t.co/sXZiwsQebV \n#MissionImpossibleFallout",#MissionImpossibleFallout,4228094679
21900,Watching #MissionImpossibleFallout to end my night. ???? @TomCruise #ethanhunt #TomCruise #teamethanhunt #teamhunt https://t.co/4sTyeyUaOl,#MissionImpossibleFallout,550933750
21901,Get New Ideas NOW! Start Searching the Right Places\nhttps://t.co/wRBlT9oCo4\n\nGet New Ideas NOW! Start Searching the… https://t.co/LIDCZRJ2Um,#Searching,1040049905472070000
21902,"This year could be an excellent opportunity to buy a home for several reasons. Well, it also depends on your locati… https://t.co/AFI6xQM6rG",#Searching,2593553636
21903,We cant trust everyone..\nThere will always hidden agenda..\n\n#searching,#Searching,371079026
21904,Sometime parents overprotective toward their child will lead to damage\n\n#searching,#Searching,371079026
21905,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,317396953
21906,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,3407302108
21907,"Watched #Searching starring @JohnTheCho and wow. The love of a father astounds me, especially since I have no basis (lol)",#Searching,134773425
21908,RT @nickfromamerica: Hello world of Twitter. I am trying to find my doppelgänger! If you know someone who looks like me please post a pictu…,#Searching,2273534046
21909,Really want to use my Twitter to find/create #SEO networks... #searching,#Searching,978983044286701000
21910,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,2256021501
21911,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,908607678133522000
21912,"Indeed I cant still shookt! I really thought it was his uncle, why did I miss the photo of Vick with the ex cons.… https://t.co/xvpxnbQZ0j",#Searching,243574727
21913,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,2290232831
21914,"That twist tho ohhhh. Waited for it and that movie is good. Feels like Nerve movie sort of thing, but with a different take. #Searching.",#Searching,243574727
21915,RT @StPiusXCPS: Learning some valuable lessons in Year 6 today. Can never underestimate the importance of first aid. Skills that could one…,#Searching,929671819
21916,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,1901188604
21917,RT @NEILSHOTDEALS: Are u #searching for #International #Soccer #Football #Jerseys #Shirts your #team #club #shop my #eBay #store today #eba…,#Searching,3190564878
21918,"RT @ExpressjobsO: https://t.co/uKxtsx9x34 is leading online #jobs and #services #searching platform in #AUSTRALIA , we invite all #Builders…",#Searching,4350214940
21919,we are #searching #graphicdesign #talent!,#Searching,1524497648
21920,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,3417697337
21921,RT @MihaiBrinas: #searching\n\ni am a #wanderer\ni have run away from those\ni haven’t understood\nand now i am #running from myself\nme the misu…,#Searching,932221959529738000
21922,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,933033791312089000
21923,RT @craftedserendip: Spoiler-free movie review of #Searching starring @JohnTheCho and @DebraMessing ?? \nPS: Its on @Netflix_PH #Netflix\n\nht…,#Searching,273916492
21924,Spoiler-free movie review of #Searching starring @JohnTheCho and @DebraMessing ?? \nPS: Its on @Netflix_PH #Netflix\n\nhttps://t.co/xh5fkbtnKC,#Searching,847420679343325000
21925,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,1025339594
21926,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,3336927771
21927,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,791383616
21928,RT @nickfromamerica: Hello world of Twitter. I am trying to find my doppelgänger! If you know someone who looks like me please post a pictu…,#Searching,2885601985
21929,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,396450510
21930,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,938283214820577000
21931,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,1166102780
21932,"Have you ever think, what is the use of Im feeling lucky in google so here it is,When a user types in a search a… https://t.co/bH9V99z5Qf",#Searching,982377391497494000
21933,Hello world of Twitter. I am trying to find my doppelgänger! If you know someone who looks like me please post a pi… https://t.co/F2mMSK6E2Q,#Searching,926309206432432000
21934,10/10 for #searching ! Plot twist teruk bravo aneesh ????????????,#Searching,919081042060832000
21935,https://t.co/aWZ2Nmq66j\n#highlight #keyword in #searching #results using #PHP #MySql https://t.co/MAkKylK3HG,#Searching,738071666941517000
21936,Enjoy a hassle-free hotel comparison on online searching platforms @GoSearchTravel \nhttps://t.co/ayn7L5zjON… https://t.co/QXnVaYEz0a,#Searching,860899728057409000
21937,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,387247563
21938,RT @MercuryA22219: #writingcommunity I need your help with something. Please share. I’ve been searching for a specific book for 10+ years.…,#Searching,3773019554
21939,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,2635118540
21940,Have you watched #Searching ... no? ... go watch it now!,#Searching,455388513
21941,RT @NEILSHOTDEALS: Are u #searching for #International #Soccer #Football #Jerseys #Shirts your #team #club #shop my #eBay #store today #eba…,#Searching,735604830442381000
21942,Damn gingers. #searching,#Searching,70745320
21943,"#INSPIRE; When you #remove the #fear, The #answer you have been #searching for comes in #focus.",#Searching,979586266961457000
21944,RT @StPiusXCPS: Learning some valuable lessons in Year 6 today. Can never underestimate the importance of first aid. Skills that could one…,#Searching,3966783674
21945,Learning some valuable lessons in Year 6 today. Can never underestimate the importance of first aid. Skills that co… https://t.co/qeQA8xGw3N,#Searching,1261657130
21946,Finally got to see @aneeshchagantys film #Searching. Usually not a fan of the streaming/web cam format but it wa… https://t.co/rAhVp5vgoM,#Searching,255662873
21947,"Damn, @JohnTheCho, 10 minutes in and you already got my crying. #searching",#Searching,70745320
21948,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,2797974642
21949,RT @LavadaJune: ??\u200d??SPACE CADET LOOKING FOR LOST MATE??\u200d??\n#oil painting #lost in space #searching #outerlimits #determination #fantasy https:…,#Searching,247889018
21950,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,1451080872
21951,RT @anmitsu_25: https://t.co/to93v9R1qQ #After #desperately #searching for a book that #could #overcome the poor #instruction and #material…,#Searching,549180354
21952,RT @anmitsu_25: https://t.co/to93v9R1qQ #After #desperately #searching for a book that #could #overcome the poor #instruction and #material…,#Searching,542127520
21953,Why would you take a break at a place and go to that remote corner of the earth? https://t.co/2hrll3bM8U  ????\xa0#Soul… https://t.co/B3qbFQjP9s,#Searching,870321112105730000
21954,My amazing #mentor Lakeisha Marion \n\n#SUCCESS LEAVES CLUES!! Her credit score #increased over 200+ #points and was… https://t.co/8oEfFLQHgE,#Searching,920788780730212000
21955,RT @GoToLisbon: Are you #searching for the best way to make your #holiday relaxing? #Portugal Trips are the right choice for your #travelli…,#Searching,3424107519
21956,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,724364101
21957,RT @NEILSHOTDEALS: Are u #searching for #International #Soccer #Football #Jerseys #Shirts your #team #club #shop my #eBay #store today #eba…,#Searching,808377312504909000
21958,My amazing #mentor Lakeisha Marion \n\n#SUCCESS LEAVES CLUES!! Her credit score #increased over 200+ #points and was… https://t.co/kLSryuAXqC,#Searching,920788780730212000
21959,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,3622787654
21960,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,4884526367
21961,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,2387315840
21962,RT @erikskorner: #Searching is a crazy ass movie.,#Searching,997982309008756000
21963,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,2717061902
21964,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,298043180
21965,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,872103030392586000
21966,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,456181811
21967,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,22536728
21968,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,917819989398315000
21969,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,757136972922163000
21970,"RT @grannydeepsea: YOU DON’T KNOW WHAT YOU DON’T KNOW. \nFor #heroes!\nIf you’re happy being average, stay that way - enjoy life!\nIf you’re m…",#Searching,95498456
21971,5 #Airlines I tend to #Forget when #Searching for #Awards\nhttps://t.co/u3Uqqcwbh3 https://t.co/HZFnNGaSQk,#Searching,776383024019767000
21972,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,970635041117278000
21973,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,875397290277470000
21974,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,872566340799868000
21975,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,323399358
21976,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,1057028870497620000
21977,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,1270794739
21978,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,262155242
21979,RT @colliealert: COPIED FROM FB ????\na year ago Edith was #stolen I never thought I’d still be #searching after so long. A few leads but ne…,#Searching,615544929
